,gleak (nS),Eleak (mV),cap (pF),rseries (MOhms),rseal (GOhms)
0,0.4521058334596036,-20.71950799244832,20.81844,9.465926,2.6478490000000003
1,0.6677842568771866,-11.61895235672555,20.56082,10.014619999999999,1.541446
2,0.6732521748742498,-8.939971026526841,20.68691,10.28896,1.491573
3,0.6869699683204196,14.689633113582493,21.17325,9.671685,1.1032220000000001
4,0.9032385108254183,0.38742908983883173,21.11583,9.054407,0.9564846
5,1.3009011890191513,-13.936052223659575,21.02053,10.28896,0.7976604
6,1.1309523716141272,13.367841548051528,21.24643,9.19158,0.6590214000000001
7,1.2785579133732186,17.05583398381401,21.54741,9.808857999999999,0.5957787
8,1.3935553346077538,18.380717517760687,21.4308,9.328752999999999,0.5371311000000001
9,1.9718719572684953,19.42870697200141,21.54304,10.35755,0.38440240000000003
10,1.9648324918418822,27.890374790714823,21.68875,10.76907,0.35008300000000003
