well | qc1.0 | qc1.1| qc1.2| qc1.3| qc2.1 | qc2.2 | qc3 | qc4| qc5
A05 |1|1|1|1|1|1|1|1|1|
A11 |1|1|1|1|1|1|1|1|1|
B06 |1|1|1|1|1|1|1|1|1|
C01 |1|1|1|1|1|1|1|1|0|
C05 |1|1|1|1|1|1|1|1|1|
C07 |1|1|1|1|1|1|1|1|1|
C09 |1|1|1|1|1|1|1|1|1|
C10 |1|1|1|1|1|1|1|1|1|
C12 |1|1|1|1|1|1|1|1|1|
C16 |1|1|1|1|1|1|1|1|1|
D14 |1|1|1|1|1|1|1|1|1|
D18 |1|1|1|1|1|1|1|1|1|
D24 |1|1|1|1|1|1|1|0|1|
E04 |1|1|1|1|1|1|1|1|1|
G09 |1|1|1|1|1|1|1|1|1|
G21 |1|1|1|1|1|0|1|1|1|
H12 |1|1|1|1|1|1|1|1|1|
H17 |1|1|1|1|1|1|1|0|1|
H23 |1|1|1|1|1|1|1|1|1|
I21 |1|1|1|1|1|1|1|1|1|
J05 |1|0|1|1|1|0|1|0|1|
J12 |1|1|1|1|1|1|1|1|1|
K05 |1|0|1|1|1|1|1|0|0|
K07 |1|0|1|0|1|0|1|1|1|
K08 |1|1|1|1|1|0|1|0|1|
K12 |1|1|1|0|1|1|1|1|1|
K20 |1|1|1|1|1|1|1|1|1|
K22 |1|1|1|1|1|1|1|1|1|
L09 |1|1|1|1|1|0|1|0|1|
L21 |1|1|1|1|1|1|1|1|1|
M06 |1|1|1|0|1|0|1|0|1|
M17 |1|1|1|1|1|1|1|1|1|
M19 |1|1|1|1|1|1|1|0|1|
N06 |1|1|1|1|1|0|1|1|1|
N16 |1|1|1|1|1|1|1|1|1|
N17 |1|1|1|1|1|1|1|1|1|
O01 |1|1|1|1|1|1|1|1|1|
O19 |1|1|1|1|1|1|1|1|1|
P01 |1|1|1|1|1|0|1|1|1|
P16 |1|1|1|0|1|0|1|1|1|
