A05,B02,C10,C13,D19,E05,F15,G18,H19,I05,I15,I20,J21,K17,L21,M11,N20,O09
-17.799670402461967,-52.637785878217954,18.55809254580102,-7.860384208541689,44.57176063946506,7.339112567764148,49.405851690764784,-12.86272898775317,-11.72510141299054,-15.259831108223011,39.727881642589296,-18.488973510716107,1.3051533129841175,-43.053185078386754,-95.1562448586292,2.6298775949761937,31.100686358035432,13.852081757997977
-56.68013657551243,-46.68411612546869,29.77011504080226,-14.84642955782934,31.790732831010896,-4.750391887340754,88.0169664302361,-38.47759277661859,-11.874875557548195,8.236123603786524,28.729452998375372,-16.103946768464198,1.7470935159959138,-69.74077904464514,-112.36834210797306,-6.759830421988339,22.770514560078684,14.738493266995697
-17.465718501874534,-33.01556365749191,28.790502091508344,-30.58233013081113,28.660593108504035,2.1115880864782928,29.68553046813275,-67.62844966827055,-17.297662084822573,-31.27047351534,-7.637530721819578,7.033958713196682,1.916495431048446,-121.35033470260561,-102.61291154473886,11.530191468257897,28.040828396494604,17.829114741595866
-43.97045897556873,-21.031433124906343,12.580491553799021,-38.899558245376205,5.531069638527782,-9.57847174640716,51.50130731298414,-45.21892200387408,-66.29515957748069,-29.853483753280553,17.678079839258896,22.986771091070832,0.9049294033365809,-94.0846741885467,-94.94357789980641,20.401057456979398,25.12810718161083,26.379234152118208
-45.20157457757455,-22.219157152087007,8.15040612243814,-24.69256694763814,18.974832853723914,-12.158502046769682,77.0428984702885,-1.0260855396465443,4.344719209853565,-16.856460280804924,-22.768640852974272,-4.240737806985892,28.69758777711809,-94.94374333513501,-92.87865512740568,-5.343371841414666,33.97152128367901,12.478619062765496
-109.48436529317678,-54.97854460775435,1.9607363869657348,-43.86343796069744,20.839300215664707,-10.988354750812418,24.2974226689264,-14.83438214921276,-55.603866569014095,-30.994696764902642,28.54008944523243,-13.717392468664144,22.933314868470262,-143.1578393581917,-95.37951129142715,-6.328035919051501,40.96520289896269,22.078370391714543
-78.65305309250823,-24.228774073606647,-17.513766901462155,-41.46752612890541,-50.364740401962095,14.871906299612446,70.07950289461996,3.252799532741818,-16.09366320344941,-8.643714053549276,28.947473331073464,-12.701895467539458,-1.4390494154900468,-64.14460937887421,-97.08519269276437,-18.865965844882652,15.883504949887495,38.93552374934387
-120.73698237465649,-51.6812008844976,-36.9846864737879,-31.641058808735355,66.11655600596717,22.06312324590718,54.45811472541232,-6.344798084260219,-52.645279385185,-42.506296989690156,12.49913312465631,-30.432950341602293,17.65559692748681,-252.93766206092232,-173.81366799084617,10.368207100381198,33.74771117842407,39.02427498209814
-131.67619534335185,-26.79864437803053,-35.7792082687766,-50.34214268204834,-8.650167390621219,26.672576645057376,52.628740022494185,-53.14731687593744,-45.05288425756078,-68.32362788631002,43.82469233116714,-3.160502945388771,13.970262684360051,-29.323359431985978,-147.70050542145722,14.472754950512295,23.7747881777055,61.701379756654504
-171.19734700962272,4.619529744376337,-187.28585960591104,65.7297858694699,0.8082400427391007,16.254830933391588,107.5017479925329,2.304525886965564,-17.038220352318376,-58.75837919795072,-23.576417947107036,-20.31165097581868,83.7549552595287,-169.94069485666097,-82.86675077658721,15.693858734753803,52.85513401986997,87.50796323856528
-146.34468161190966,-157.57089871419655,-99.76824049378291,22.504839862221672,145.8626774591352,-2.2537753799987286,114.23187491852019,20.87317401005987,-46.77718091620864,-160.94323890558644,24.9151043396962,-45.00590640789823,14.303385984815973,-135.41994253533505,-70.3449145625782,-9.380179006248483,76.76847180770429,52.29894982198193
