;Sweep Count;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
;Sweep Time (s);717.000E-3;20.717E+0;40.724E+0;60.725E+0;80.724E+0;100.725E+0;120.725E+0;140.724E+0;160.738E+0;180.738E+0;200.749E+0;220.749E+0;240.749E+0;260.749E+0;280.748E+0;300.748E+0;320.748E+0;340.752E+0;360.751E+0;380.751E+0;400.752E+0;420.751E+0;440.759E+0;460.760E+0;480.759E+0;500.759E+0;520.759E+0;540.760E+0;560.759E+0
Sample Point;Sample Time (us);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);
1;0;-44.147E-12;-44.147E-12;-44.147E-12;-47.301E-12;-39.417E-12;-42.571E-12;-39.417E-12;-44.147E-12;-42.571E-12;-40.994E-12;-47.301E-12;-39.417E-12;-39.417E-12;-58.337E-12;-64.644E-12;-61.491E-12;-116.675E-12;-209.699E-12;-427.282E-12;-416.245E-12;-425.705E-12;-403.632E-12;-6.936E-9;-8.140E-9;-8.265E-9;-8.081E-9;-7.369E-9;-9.394E-9;-8.654E-9
2;100;-45.724E-12;-48.877E-12;-45.724E-12;-42.571E-12;-36.264E-12;-47.301E-12;-37.840E-12;-47.301E-12;-45.724E-12;-48.877E-12;-47.301E-12;-40.994E-12;-39.417E-12;-48.877E-12;-61.491E-12;-63.067E-12;-105.638E-12;-216.006E-12;-425.705E-12;-422.552E-12;-414.668E-12;-406.785E-12;-6.934E-9;-8.140E-9;-8.260E-9;-8.074E-9;-7.365E-9;-9.383E-9;-8.648E-9
3;200;-39.417E-12;-56.761E-12;-52.031E-12;-36.264E-12;-36.264E-12;-42.571E-12;-26.804E-12;-45.724E-12;-45.724E-12;-39.417E-12;-39.417E-12;-31.534E-12;-42.571E-12;-39.417E-12;-63.067E-12;-55.184E-12;-111.945E-12;-217.583E-12;-422.552E-12;-419.398E-12;-416.245E-12;-406.785E-12;-6.937E-9;-8.134E-9;-8.268E-9;-8.077E-9;-7.360E-9;-9.400E-9;-8.659E-9
4;300;-39.417E-12;-47.301E-12;-53.607E-12;-29.957E-12;-39.417E-12;-40.994E-12;-34.687E-12;-47.301E-12;-48.877E-12;-42.571E-12;-39.417E-12;-26.804E-12;-42.571E-12;-52.031E-12;-58.337E-12;-64.644E-12;-113.521E-12;-211.276E-12;-425.705E-12;-417.822E-12;-409.938E-12;-406.785E-12;-6.942E-9;-8.142E-9;-8.268E-9;-8.079E-9;-7.369E-9;-9.394E-9;-8.654E-9
5;400;-39.417E-12;-42.571E-12;-55.184E-12;-37.840E-12;-45.724E-12;-33.110E-12;-47.301E-12;-45.724E-12;-36.264E-12;-58.337E-12;-48.877E-12;-37.840E-12;-39.417E-12;-58.337E-12;-63.067E-12;-72.528E-12;-118.251E-12;-211.276E-12;-433.589E-12;-420.975E-12;-419.398E-12;-408.362E-12;-6.944E-9;-8.139E-9;-8.267E-9;-8.081E-9;-7.363E-9;-9.389E-9;-8.653E-9
6;500;-47.301E-12;-36.264E-12;-48.877E-12;-34.687E-12;-45.724E-12;-45.724E-12;-45.724E-12;-47.301E-12;-34.687E-12;-44.147E-12;-48.877E-12;-37.840E-12;-37.840E-12;-58.337E-12;-64.644E-12;-70.951E-12;-110.368E-12;-212.853E-12;-430.435E-12;-414.668E-12;-414.668E-12;-395.748E-12;-6.947E-9;-8.144E-9;-8.270E-9;-8.077E-9;-7.368E-9;-9.383E-9;-8.643E-9
7;600;-40.994E-12;-42.571E-12;-50.454E-12;-34.687E-12;-40.994E-12;-40.994E-12;-34.687E-12;-42.571E-12;-50.454E-12;-50.454E-12;-40.994E-12;-40.994E-12;-47.301E-12;-59.914E-12;-64.644E-12;-66.221E-12;-115.098E-12;-209.699E-12;-424.129E-12;-416.245E-12;-420.975E-12;-389.441E-12;-6.950E-9;-8.137E-9;-8.271E-9;-8.074E-9;-7.373E-9;-9.384E-9;-8.653E-9
8;700;-45.724E-12;-50.454E-12;-53.607E-12;-40.994E-12;-34.687E-12;-37.840E-12;-37.840E-12;-45.724E-12;-53.607E-12;-42.571E-12;-45.724E-12;-31.534E-12;-44.147E-12;-42.571E-12;-70.951E-12;-64.644E-12;-113.521E-12;-204.969E-12;-411.515E-12;-416.245E-12;-413.092E-12;-395.748E-12;-6.947E-9;-8.137E-9;-8.287E-9;-8.077E-9;-7.369E-9;-9.391E-9;-8.654E-9
