,leak moles frac,Ca_eff,Ca_tot,Temperature,thold,INaCa
0,0.4177434075883471,0.11890040610304525,22.417684844157517,310,10,Off
1,0.4883583193661214,0.26020250632218606,10.403988005991438,310,10,On
2,0.3613462826703318,0.2170335647853988,9.422372129357004,310,10,Off
3,0.3654357716181467,0.04361958167399737,23.920763199507647,310,10,Off
4,0.5385654352679117,0.6883501187005343,16.98760547066017,310,10,Off
5,0.33266595555717976,0.17868710164022367,14.38651665925631,310,10,On
6,0.28014915094679427,0.15435617663262463,11.284216846027423,310,10,On
7,0.3711010405206768,0.1561653975180733,11.331450263630385,310,10,Off
8,0.44013978103377327,0.039514040286589946,6.9876377522632325,310,10,On
9,0.7372697151296197,0.11116546750240394,23.798144316771353,310,10,On
10,0.3342793494359541,0.05748960437642876,9.788015068279194,310,10,On
11,0.5525095974405231,0.26400528383776817,13.91483308505458,310,10,On
12,0.5311681594365553,0.23920424084791203,17.168273323565543,310,10,Off
13,0.29991039906803646,0.05755694261380635,22.253878745237028,310,10,Off
14,0.4247716592318955,0.054283548919707894,16.881138678148645,310,10,On
15,0.4307552987698847,0.07473730825101205,33.26356304515828,310,10,Off
16,0.43030881030827217,0.18894918831223417,22.531462410308894,310,10,Off
17,0.23188512377260687,0.21200520565238182,31.851110981860202,310,10,On
18,0.4333154214329281,0.18167148551312398,21.551293881199644,310,10,Off
19,0.5563471446567353,0.11285003539783142,16.089474284860508,310,10,Off
20,0.29490739946935746,0.082611090781857,58.070252341060055,310,10,On
21,0.6347415796907798,0.38347516217069677,11.040185947398447,310,10,On
22,0.3604509062179665,0.07323929150787958,20.263326575283124,310,10,On
23,0.4094650976051304,0.522542633549095,14.53023697895573,310,10,On
24,0.32822381166980047,0.10714775394429651,22.18287117299776,310,10,On
25,0.613663552937834,0.15797510488297387,11.87560799438566,310,10,Off
26,0.5473467898958148,0.08047636747495573,25.481421541793402,310,10,On
27,0.19104970477890157,0.10504486901171103,20.91142183566754,310,10,On
28,0.41353468100935886,0.4765174076508021,19.429575345192376,310,10,Off
29,0.3612075080008331,0.10467663921084669,39.505786074341124,310,10,Off
30,0.2780669324615664,0.22850861626976887,18.27003386040083,310,10,On
31,0.42244690296351395,0.10163656844312194,17.58952074344134,310,10,On
32,0.2820770007555116,0.06615843153310938,34.53557705403222,310,10,On
33,0.3389255085080417,0.050883184929022426,22.779613333582986,310,10,On
34,0.3860214355730705,0.0867627939743204,9.57461975765087,310,10,On
35,0.46330425480115767,0.08392705239669904,33.66356276152093,310,10,On
36,0.3953339551493018,0.04186238847331994,22.617079909788462,310,20,On
37,0.401925310871988,0.10806524737731468,11.562557647825308,310,20,On
38,0.4686992712308505,0.06175481677930546,5.348542782883612,310,20,Off
39,0.744468784258572,0.04478382737631585,9.545623511014727,310,20,Off
40,0.4745863693190129,0.024298401461148426,16.479159082221294,310,20,Off
41,0.5599400296020097,0.111178759224844,8.235183868735477,310,20,On
42,0.5999087592209861,0.18386470728977605,15.995272631583177,310,20,Off
43,0.5049133300599493,0.06653069585049982,7.614968581562422,310,20,On
44,0.5759249239851102,0.05165176695165239,9.965531047698068,310,20,Off
45,0.6278395531914613,0.07691329928511415,19.846386986402166,310,20,On
46,0.6901186432847298,0.08215704075972786,11.36877703655627,310,20,Off
47,0.41673783527941366,0.10615920414231457,4.6609011943933245,310,20,Off
48,0.48691052099476867,0.24508395231319985,8.966666358110999,310,20,On
49,0.38215539877528737,0.06325875009838354,20.747084524401075,310,20,On
50,0.5940251726333557,0.07891211634351278,31.110429682114106,310,20,Off
51,0.47261243508567047,0.17760341319501394,7.501553383860671,310,20,On
52,0.3678100441627878,0.058673971897451736,9.691198040643668,310,20,On
53,0.47232912290952267,0.037727270731616816,29.02596128152549,310,20,Off
54,0.7080973693509123,0.10652352519481163,15.613695090145987,310,20,Off
55,0.7937101633237316,0.06845190373817842,23.440826414171006,310,20,Off
56,0.5812599175979909,0.13661587448982923,9.160619703953126,310,20,On
57,0.7361785454137054,0.12855527718439252,13.277558676288082,310,20,Off
58,0.2639160464878105,0.03501656124873858,12.493496763219376,310,20,Off
59,0.5987872031416901,0.09403512553623705,23.623726620586176,310,20,On
60,0.8144099713813606,0.12125921585716447,12.472209721781667,310,40,Off
61,0.7394012213263,0.13145688702749025,6.555803640084526,310,40,Off
