0,1,2,3,4,5,6,7,8
-44.095158218304846,-33.58159135809798,-36.11042440667178,-35.72170402163523,-28.320466075668605,-33.19877100952105,-28.354730384310187,-28.25264093380561,-44.99350793948389
-42.51815821830485,-44.62359135809798,-32.956424406671786,-43.608704021635205,-26.743466075668607,-47.395771009521056,-39.3967303843102,-32.98564093380563,-33.95150793948389
-40.940158218304845,-44.622591358097964,-51.884424406671755,-38.87570402163523,-39.36246607566861,-55.282771009521056,-47.28373038431019,-44.02764093380563,-46.57050793948389
-25.166158218304844,-33.58159135809798,-29.80142440667177,-23.10170402163523,-26.743466075668593,-34.77577100952105,-42.55173038431019,-29.830640933805626,-40.26050793948389
-33.05415821830485,-36.736591358097996,-40.84342440667179,-42.031704021635235,-45.672466075668595,-30.043771009521066,-52.01673038431019,-36.14064093380563,-38.68350793948389
-20.434158218304844,-38.31359135809798,-34.533424406671784,-35.72170402163523,-44.0954660756686,-31.620771009521036,-31.50973038431019,-28.253640933805627,-35.52850793948389
-20.434158218304844,-24.116591358097992,-32.95542440667175,-27.83470402163522,-31.475466075668606,-28.465771009521035,-23.621730384310197,-18.788640933805624,-38.68350793948389
-33.053158218304844,-17.80659135809799,-28.223424406671768,-32.5657040216352,-33.052466075668605,-26.887771009521032,-31.508730384310198,-28.252640933805623,-33.950507939483884
-36.20915821830485,-30.426591358097994,-37.688424406671786,-48.34170402163522,-37.78546607566861,-48.97377100952106,-37.81973038431019,-34.56364093380563,-37.10650793948389
-33.05415821830485,-38.31359135809798,-34.533424406671784,-45.18670402163522,-40.940466075668596,-39.508771009521055,-26.7767303843102,-28.253640933805627,-32.373507939483886
-26.743158218304842,-25.69359135809799,-23.490424406671778,-34.14370402163523,-47.24946607566859,-25.310771009521062,-25.198730384310196,-31.407640933805624,-43.41550793948389
-40.94115821830485,-44.623591358098,-50.308424406671776,-54.65070402163521,-61.4474660756686,-39.508771009521055,-39.3967303843102,-40.87264093380563,-33.95150793948389
-36.20815821830483,-38.313591358097995,-51.88542440667179,-45.18670402163524,-56.71446607566858,-44.24077100952107,-39.3967303843102,-45.60564093380563,-49.72550793948389
-28.321158218304845,-32.00459135809798,-29.801424406671785,-30.989704021635234,-39.36246607566858,-31.621771009521055,-39.3967303843102,-37.717640933805626,-27.641507939483887
-37.78615821830485,-35.15859135809799,-36.11042440667178,-32.56670402163523,-40.93946607566858,-34.775771009521065,-37.8187303843102,-40.87264093380563,-29.218507939483885
-31.476158218304846,-35.158591358097965,-34.533424406671784,-30.98970402163522,-42.517466075668594,-23.733771009521064,-37.81873038431017,-37.717640933805626,-30.796507939483888
-40.94115821830485,-33.581591358097995,-45.57542440667176,-42.031704021635235,-26.743466075668607,-44.240771009521055,-45.706730384310205,-39.29564093380563,-35.52850793948389
-40.94115821830485,-39.891591358098,-31.378424406671783,-40.45470402163522,-37.78546607566861,-33.19877100952107,-40.97473038431019,-32.98564093380563,-51.30350793948389
-45.67315821830485,-32.004591358098,-51.88542440667176,-51.496704021635225,-36.20846607566861,-41.08577100952104,-48.861730384310206,-34.56364093380563,-51.30350793948389
-42.51815821830485,-25.69359135809799,-32.95542440667178,-38.87670402163522,-44.09446607566858,-39.507771009521036,-40.9737303843102,-36.14064093380563,-44.99350793948389
-23.589158218304846,-20.96159135809799,-28.223424406671782,-27.83470402163522,-26.743466075668593,-19.00177100952105,-25.199730384310186,-18.788640933805624,-27.641507939483887
-33.053158218304844,-25.69359135809796,-40.84342440667177,-27.83470402163522,-33.052466075668576,-23.733771009521064,-12.579730384310196,-23.520640933805623,-26.063507939483884
-37.785158218304844,-28.84859135809799,-36.11042440667178,-30.98870402163523,-47.24946607566859,-36.352771009521035,-26.7767303843102,-36.13964093380562,-41.837507939483885
-47.25015821830485,-41.46859135809798,-43.99742440667178,-40.45370402163523,-55.136466075668594,-37.93077100952105,-48.8607303843102,-45.604640933805626,-48.14750793948389
-44.09615821830485,-46.20059135809797,-50.30742440667176,-38.876704021635234,-51.9824660756686,-41.08577100952107,-56.74873038431019,-42.45064093380563,-40.26050793948389
