well | qc1.0 | qc1.1| qc1.2| qc1.3| qc2.1 | qc2.2 | qc3 | qc4| qc5
A05 |1|1|1|1|1|1|1|1|1|
A14 |1|0|1|1|0|0|0|0|1|
B02 |1|1|1|1|1|1|1|1|1|
C07 |1|0|1|1|0|0|1|1|0|
C08 |1|0|1|1|1|0|1|0|1|
C10 |1|1|1|1|1|1|1|1|1|
C13 |1|1|1|1|1|1|1|1|1|
C19 |1|0|1|1|0|0|1|1|0|
C20 |1|1|1|1|1|0|1|0|1|
D03 |1|1|1|1|1|1|1|0|1|
D08 |1|0|1|1|0|0|1|0|1|
D09 |1|1|1|1|1|0|1|0|1|
D11 |1|0|1|0|1|1|1|0|1|
D13 |1|0|1|1|1|0|0|0|1|
D19 |1|1|1|1|1|1|1|1|1|
E03 |1|1|1|1|1|0|1|0|1|
E05 |1|1|1|1|1|1|1|1|1|
E08 |1|0|1|1|0|0|1|1|1|
E09 |1|0|1|0|1|0|1|1|1|
E11 |1|1|1|1|0|0|1|0|1|
E15 |1|1|1|1|1|1|1|0|1|
E22 |1|1|1|0|1|1|1|1|1|
F05 |1|1|1|1|1|0|1|0|1|
F09 |1|0|1|1|0|0|1|0|1|
F10 |1|0|0|1|0|0|1|1|1|
F15 |1|1|1|1|1|1|1|1|1|
F21 |1|1|1|1|1|1|1|0|1|
G03 |1|1|1|1|1|0|1|0|1|
G09 |1|1|1|1|1|0|1|1|1|
G14 |1|0|1|0|0|0|0|0|1|
G18 |1|1|1|1|1|1|1|1|1|
H16 |1|1|1|1|1|0|1|1|1|
H18 |1|0|1|1|1|0|1|0|1|
H19 |1|1|1|1|1|1|1|1|1|
I05 |1|1|1|1|1|1|1|1|1|
I15 |1|1|1|1|1|1|1|1|1|
I20 |1|1|1|1|1|1|1|1|1|
J15 |1|1|1|1|1|0|1|0|1|
J20 |1|1|1|1|1|0|1|1|1|
J21 |1|1|1|1|1|1|1|1|1|
J22 |1|1|1|1|1|0|1|1|1|
K07 |1|0|1|1|1|1|1|0|1|
K17 |1|1|1|1|1|1|1|1|1|
L16 |1|1|0|1|1|1|1|0|1|
L21 |1|1|1|1|1|1|1|1|1|
M11 |1|1|1|1|1|1|1|1|1|
M20 |1|1|1|1|1|1|1|0|1|
N06 |1|1|1|1|1|0|1|1|1|
N18 |1|0|1|1|1|0|1|1|1|
N20 |1|1|1|1|1|1|1|1|1|
O09 |1|1|1|1|1|1|1|1|1|
O22 |1|1|1|1|1|0|1|1|1|
