;Sweep Count;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
;Sweep Time (s);391.000E-3;20.393E+0;40.409E+0;60.426E+0;80.435E+0;100.444E+0;120.449E+0;140.468E+0;160.469E+0;180.471E+0;200.472E+0;220.473E+0;240.474E+0;260.475E+0;280.475E+0;300.476E+0;320.477E+0;340.478E+0;360.479E+0;380.480E+0;400.480E+0;420.481E+0;440.482E+0;460.483E+0;480.484E+0;500.485E+0;520.486E+0;540.487E+0;560.487E+0
Sample Point;Sample Time (us);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);
12;1100;-26.797E-12;-25.221E-12;-28.373E-12;-25.221E-12;-42.560E-12;-42.560E-12;-45.712E-12;-63.052E-12;-74.086E-12;-75.662E-12;-83.543E-12;-89.849E-12;-100.883E-12;-99.306E-12;-110.340E-12;-130.832E-12;-141.866E-12;-201.765E-12;-219.105E-12;-252.207E-12;-261.664E-12;-264.817E-12;-279.004E-12;-279.004E-12;-285.309E-12;-288.461E-12;-297.919E-12;-297.919E-12;-301.072E-12
13;1200;-34.678E-12;-25.221E-12;-28.373E-12;-20.492E-12;-40.984E-12;-39.407E-12;-37.831E-12;-59.899E-12;-67.781E-12;-80.391E-12;-89.849E-12;-97.730E-12;-100.883E-12;-99.306E-12;-111.917E-12;-133.985E-12;-130.832E-12;-198.613E-12;-231.715E-12;-242.749E-12;-271.122E-12;-261.664E-12;-285.309E-12;-279.004E-12;-288.461E-12;-283.733E-12;-302.648E-12;-299.495E-12;-296.343E-12
14;1300;-28.373E-12;-28.373E-12;-28.373E-12;-23.644E-12;-45.712E-12;-40.984E-12;-33.102E-12;-59.899E-12;-80.391E-12;-77.238E-12;-81.967E-12;-97.730E-12;-99.306E-12;-86.696E-12;-105.612E-12;-126.103E-12;-137.137E-12;-203.342E-12;-226.986E-12;-241.173E-12;-272.698E-12;-261.664E-12;-283.733E-12;-285.309E-12;-279.004E-12;-293.190E-12;-297.919E-12;-301.072E-12;-299.495E-12
15;1400;-33.102E-12;-33.102E-12;-28.373E-12;-31.526E-12;-40.984E-12;-29.950E-12;-44.136E-12;-63.052E-12;-77.238E-12;-77.238E-12;-85.120E-12;-91.425E-12;-93.001E-12;-104.035E-12;-115.069E-12;-133.985E-12;-146.595E-12;-197.036E-12;-217.528E-12;-252.207E-12;-274.275E-12;-269.546E-12;-272.698E-12;-280.580E-12;-288.461E-12;-286.885E-12;-304.224E-12;-301.072E-12;-302.648E-12
16;1500;-40.984E-12;-28.373E-12;-34.678E-12;-22.068E-12;-29.950E-12;-37.831E-12;-48.865E-12;-61.475E-12;-77.238E-12;-70.933E-12;-83.543E-12;-96.154E-12;-104.035E-12;-105.612E-12;-119.798E-12;-126.103E-12;-143.443E-12;-200.189E-12;-226.986E-12;-242.749E-12;-269.546E-12;-264.817E-12;-283.733E-12;-269.546E-12;-290.038E-12;-275.851E-12;-296.343E-12;-296.343E-12;-293.190E-12
17;1600;-31.526E-12;-34.678E-12;-39.407E-12;-28.373E-12;-34.678E-12;-34.678E-12;-44.136E-12;-59.899E-12;-64.628E-12;-72.509E-12;-89.849E-12;-94.578E-12;-105.612E-12;-105.612E-12;-126.103E-12;-129.256E-12;-148.171E-12;-203.342E-12;-231.715E-12;-252.207E-12;-263.241E-12;-264.817E-12;-282.156E-12;-274.275E-12;-282.156E-12;-291.614E-12;-297.919E-12;-305.801E-12;-293.190E-12
18;1700;-36.255E-12;-31.526E-12;-29.950E-12;-31.526E-12;-39.407E-12;-47.289E-12;-50.441E-12;-55.170E-12;-72.509E-12;-78.815E-12;-91.425E-12;-96.154E-12;-96.154E-12;-104.035E-12;-124.527E-12;-145.019E-12;-141.866E-12;-200.189E-12;-219.105E-12;-258.512E-12;-264.817E-12;-264.817E-12;-277.427E-12;-274.275E-12;-288.461E-12;-294.767E-12;-301.072E-12;-296.343E-12;-310.529E-12
19;1800;-28.373E-12;-23.644E-12;-36.255E-12;-37.831E-12;-37.831E-12;-36.255E-12;-42.560E-12;-47.289E-12;-75.662E-12;-77.238E-12;-94.578E-12;-94.578E-12;-99.306E-12;-99.306E-12;-116.646E-12;-129.256E-12;-145.019E-12;-201.765E-12;-222.257E-12;-242.749E-12;-260.088E-12;-260.088E-12;-286.885E-12;-277.427E-12;-286.885E-12;-293.190E-12;-294.767E-12;-285.309E-12;-299.495E-12
20;1900;-31.526E-12;-26.797E-12;-29.950E-12;-37.831E-12;-31.526E-12;-40.984E-12;-42.560E-12;-55.170E-12;-67.781E-12;-70.933E-12;-83.543E-12;-96.154E-12;-93.001E-12;-111.917E-12;-115.069E-12;-137.137E-12;-141.866E-12;-201.765E-12;-217.528E-12;-239.596E-12;-252.207E-12;-256.936E-12;-274.275E-12;-275.851E-12;-293.190E-12;-285.309E-12;-291.614E-12;-291.614E-12;-302.648E-12
21;2000;-31.526E-12;-25.221E-12;-36.255E-12;-29.950E-12;-33.102E-12;-45.712E-12;-47.289E-12;-64.628E-12;-67.781E-12;-81.967E-12;-88.272E-12;-88.272E-12;-93.001E-12;-110.340E-12;-110.340E-12;-145.019E-12;-143.443E-12;-192.308E-12;-223.833E-12;-242.749E-12;-269.546E-12;-263.241E-12;-282.156E-12;-279.004E-12;-285.309E-12;-285.309E-12;-290.038E-12;-296.343E-12;-296.343E-12
