;Sweep Count;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
;Sweep Time (s);314.000E-3;40.317E+0;80.318E+0;120.319E+0;160.322E+0;200.324E+0;240.325E+0;280.327E+0;320.329E+0;360.330E+0;400.334E+0;440.336E+0;480.338E+0;520.339E+0;560.341E+0
Sample Point;Sample Time (us);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);
24;2300;-66.253E-12;-115.154E-12;-160.900E-12;-208.223E-12;-249.237E-12;-260.279E-12;-282.363E-12;-451.150E-12;-433.798E-12;-485.854E-12;-520.558E-12;-507.939E-12;-569.459E-12;-536.333E-12;-739.824E-12
25;2400;-59.943E-12;-119.886E-12;-159.322E-12;-214.533E-12;-249.237E-12;-260.279E-12;-279.208E-12;-452.728E-12;-447.996E-12;-479.545E-12;-514.248E-12;-509.516E-12;-553.685E-12;-530.023E-12;-736.669E-12
26;2500;-59.943E-12;-113.576E-12;-160.900E-12;-200.336E-12;-250.814E-12;-265.011E-12;-280.786E-12;-451.150E-12;-447.996E-12;-481.122E-12;-511.094E-12;-501.629E-12;-553.685E-12;-530.023E-12;-733.514E-12
27;2600;-75.718E-12;-113.576E-12;-160.900E-12;-201.913E-12;-244.505E-12;-269.744E-12;-277.631E-12;-465.347E-12;-432.221E-12;-490.587E-12;-517.403E-12;-503.206E-12;-550.530E-12;-537.910E-12;-742.978E-12
28;2700;-64.675E-12;-107.267E-12;-165.632E-12;-200.336E-12;-246.082E-12;-265.011E-12;-279.208E-12;-451.150E-12;-438.531E-12;-477.967E-12;-512.671E-12;-503.206E-12;-552.107E-12;-536.333E-12;-739.824E-12
29;2800;-74.140E-12;-104.112E-12;-162.477E-12;-208.223E-12;-253.969E-12;-263.434E-12;-287.096E-12;-454.305E-12;-444.841E-12;-484.277E-12;-523.713E-12;-507.939E-12;-559.994E-12;-537.910E-12;-739.824E-12
30;2900;-72.563E-12;-116.731E-12;-175.097E-12;-206.646E-12;-250.814E-12;-253.969E-12;-287.096E-12;-457.460E-12;-436.953E-12;-479.545E-12;-525.291E-12;-501.629E-12;-559.994E-12;-537.910E-12;-754.021E-12
31;3000;-61.521E-12;-121.464E-12;-176.674E-12;-211.378E-12;-246.082E-12;-263.434E-12;-277.631E-12;-455.883E-12;-433.798E-12;-477.967E-12;-518.981E-12;-485.854E-12;-559.994E-12;-528.445E-12;-742.978E-12
32;3100;-67.830E-12;-110.421E-12;-173.519E-12;-212.956E-12;-250.814E-12;-253.969E-12;-290.251E-12;-459.038E-12;-433.798E-12;-479.545E-12;-531.600E-12;-495.319E-12;-558.417E-12;-537.910E-12;-744.556E-12
33;3200;-56.788E-12;-111.999E-12;-165.632E-12;-205.068E-12;-241.350E-12;-260.279E-12;-285.518E-12;-452.728E-12;-436.953E-12;-473.235E-12;-517.403E-12;-504.784E-12;-561.572E-12;-537.910E-12;-738.246E-12
