Cell ID,Run rate,Temperature,INaCa,thold,shape
D09,0.08663496604593247,298,Off,20,Other
D18,-0.035058303415627975,298,On,20,Other
E08,0.0683836742335655,298,Off,20,Saturating
E21,0.013314217665710398,298,On,20,Other
E23,0.0535280676272079,298,On,20,Linear
F03,0.03473442043974245,298,Off,20,Other
F12,0.10154187762394801,298,Off,20,Linear
F13,-0.04680367548513422,298,On,20,Other
F23,0.041737504999285926,298,On,20,Other
G16,0.058037869238121105,298,On,20,Other
H18,0.05716358980021246,298,On,20,Other
H21,0.0604522060848608,298,On,20,Other
I12,-0.0852771687762422,298,Off,20,Other
I23,-0.13222695392952669,298,On,20,Other
K05,0.05095943906732104,298,Off,20,Other
K13,-0.11232133203323924,298,On,20,Other
K21,0.036202626654885786,298,On,20,Other
K23,-0.047429810479308845,298,On,20,Other
L05,0.07051370670803497,298,Off,20,Linear
M23,0.0432914638430595,298,On,20,Other
N12,0.11930451913688593,298,Off,20,Other
N22,-0.054135288977487726,298,On,20,Other
O01,0.08329451562558518,298,Off,20,Other
O17,0.03842809724807803,298,On,20,Other
A05,0.0652669049893182,298,Off,40,Saturating
A11,0.040745899728555225,298,Off,40,Other
B06,0.050188134896860734,298,Off,40,Linear
C05,0.010249980899815183,298,Off,40,Other
C07,0.05165288660503882,298,Off,40,Other
C09,0.03184280733806052,298,Off,40,Other
C10,0.06113252207834625,298,Off,40,Other
C12,-0.0418718971010632,298,Off,40,Other
C16,0.05920794137582002,298,On,40,Linear
D14,0.035670085363993784,298,On,40,Other
D18,-0.0385869931462116,298,On,40,Other
E04,0.06070140831113856,298,Off,40,Other
G09,-0.05400224417253466,298,Off,40,Other
H12,0.021684284973310125,298,Off,40,Other
H23,0.02385965356485132,298,On,40,Other
I21,0.02797848223526542,298,On,40,Linear
J12,0.025698742858125796,298,Off,40,Other
K20,-0.06119904438393254,298,On,40,Other
K22,-0.017291459956869166,298,On,40,Other
L21,-0.006670651955611855,298,On,40,Other
M17,0.013296448751145148,298,On,40,Other
N16,0.0625808161379683,298,On,40,Other
N17,0.02443817557337466,298,On,40,Saturating
O01,0.02613284832963161,298,Off,40,Other
O19,0.06900822411070039,298,On,40,Linear
