,gleak (nS),Eleak (mV),cap (pF),rseries (MOhms),rseal (GOhms)
0,2.0428776575387397,25.50884406790907,15.191220000000001,21.46855,0.3665023
1,2.0200284768651584,29.798369971217785,15.579080000000001,21.537139999999997,0.35400010000000004
2,2.1269477983199505,26.91806012820287,15.60396,22.15441,0.3449911
3,2.1420978776477746,28.93172406887653,15.796879999999998,20.23399,0.3363234
4,2.160837659776461,30.628226666548695,15.854549999999998,18.38216,0.3287222
5,2.132343198911208,36.070376875780354,16.026709999999998,20.37117,0.3191798
6,2.365945136504935,24.80920009421545,16.17071,22.223,0.311581
7,2.250402684075073,33.93743979539469,16.24746,20.98844,0.3070057
8,2.3411681457838656,30.788507210935038,16.32364,21.33138,0.3008499
9,2.360657325133559,32.74127935181656,16.30973,18.86227,0.2942544
10,2.4785069151891705,29.035527247997823,16.349330000000002,20.23399,0.2884222
11,2.4498907857332526,32.00223444257576,16.39979,20.23399,0.28516450000000004
12,2.422873378272618,34.7529575481486,16.51175,18.93085,0.2812401
13,2.2755453383997732,41.38134614036876,16.42484,20.98844,0.2898753
14,2.085233306634277,45.584490141997556,16.18318,23.2518,0.31187010000000004
15,1.5260137389754123,30.93623680495435,15.66937,29.218809999999998,0.48208700000000004
16,1.294923802721194,29.53955857218239,14.947320000000001,28.60154,0.5591686
17,1.701577232949574,14.00067526288436,15.071509999999998,24.829279999999997,0.48578950000000004
18,1.953833481059422,7.85344509579188,14.598290000000002,23.526139999999998,0.44590320000000006
