,gleak (nS),Eleak (mV),cap (pF),rseries (MOhms),rseal (GOhms)
0,1.2193976761747058,6.748809956442406,32.02477,13.92404,0.6721254000000001
1,1.397021981571013,-4.564285972232728,32.78696,14.061219999999999,0.6635245000000001
2,1.5496280263215438,-12.150316345358682,32.93213,14.67849,0.639335
3,1.2814757426932326,15.787545823836117,33.265820000000005,15.021429999999999,0.5926884
4,1.5117910922191324,2.7000955556751878,33.588119999999996,15.707289999999999,0.5755516
5,1.6240473253600658,11.625500142594205,33.56722,16.1874,0.48358310000000004
6,1.5039854191842656,21.326636878057823,33.85613,16.73609,0.49882990000000005
7,1.6160847679681634,7.8594004677613665,33.8752,17.01043,0.4977924
8,1.8222496783850906,1.1673847295370607,33.753260000000004,17.07902,0.48129600000000006
9,1.8846541749289234,-4.526932609761028,33.42422,19.136609999999997,0.4827326
10,2.011885196595382,-5.110836201449366,33.03412,19.75389,0.460849
11,2.158389865107941,-12.703692536961846,32.88257,21.125619999999998,0.4650251
12,2.1278193632724625,-11.257204414897933,32.45523,21.88007,0.470436
13,1.9139797937703067,-8.654952160952579,32.3854,21.88007,0.5027275
14,1.5708652560219316,15.117329626257634,32.42703,22.977449999999997,0.4968582
15,1.9010540705487677,-2.651090605548634,32.25848,23.2518,0.4726284
16,1.9439673203105465,-3.65565986529114,30.982919999999996,24.14342,0.468198
17,2.375937412771806,-8.209883738272227,31.83023,24.486349999999998,0.4077065
18,2.565394483023775,-11.132285569902322,30.637459999999997,25.65232,0.3854957
