,gleak (nS),Eleak (mV),cap (pF),rseries (MOhms),rseal (GOhms)
0,0.8119490423253558,28.829849384541838,12.227189999999998,10.6319,0.8717184
1,0.771182090664834,45.58076879165285,13.468,8.985821,0.8620929
2,0.7732007034452321,55.72755223799138,13.82689,8.642889,0.7691964
3,1.011771217703386,24.956933857205705,14.043190000000001,8.368542999999999,0.7272476
4,1.1701754301971374,13.54009736542532,13.78292,8.094198,0.711751
5,1.0859679759630394,24.83166939239622,14.07391,8.094198,0.7642342000000001
6,0.9284172587009489,51.79082642472657,13.73546,7.957024,0.6546421
7,1.0765799264129272,35.910380134867204,13.98227,8.162784,0.6278867
8,1.2328238227552486,21.903707922437736,13.929,8.642889,0.7077307
9,1.119408422121032,39.59090241204288,13.53813,8.162784,0.635383
10,1.114080048210604,43.92558264973643,13.530669999999999,8.368542999999999,0.6080173
11,1.1121227913490377,53.622568176452205,12.99828,8.094198,0.6408225000000001
12,1.248751368255592,42.20212949599103,13.36328,8.162784,0.5187458
13,1.488059829827698,24.10622894919014,12.91333,8.162784,0.5088765000000001
14,1.551318291349037,26.397848157961477,13.17379,8.505716,0.5371412
15,1.606905531019588,24.805486541994476,12.5897,8.43713,0.5400469
16,1.4101901043567229,46.955389519703196,12.77081,8.505716,0.4961901
17,1.6100995236230002,33.76313792757613,11.84649,8.43713,0.43358440000000004
18,1.5508273952019804,45.76885820342993,11.27408,8.574302,0.44279070000000004
19,1.6855430008982122,41.32709896423017,11.0555,8.505716,0.4019048
20,1.660981592918175,48.2769498641037,10.49697,8.848647999999999,0.3940231
21,1.6881159099209564,50.928940579824356,10.37007,9.808857999999999,0.40489080000000005
22,1.7759213199083026,49.56567162788583,10.3583,9.328752999999999,0.39558580000000004
23,2.0170000158202632,36.12033591138294,10.3027,9.808857999999999,0.38356110000000004
24,2.146544390847599,32.353280532170615,9.748755000000001,10.42614,0.37257090000000004
25,,,8.978719,10.28896,0.3680255
26,1.8072648285233366,62.34801690665337,8.996808999999999,11.59211,0.37894490000000003
27,2.1741775599186135,40.24537766903436,9.211245,11.660689999999999,0.3656181
28,2.195695115814795,44.90276051767543,8.746747,9.946031,0.32404920000000004
29,2.251568526657397,45.17078162334183,8.873783999999999,10.014619999999999,0.32049110000000003
30,1.9811815036006617,68.88904266342335,8.602082,9.946031,0.31071760000000004
31,2.3759722061242496,44.08458695059353,8.552214000000001,10.42614,0.31330630000000004
32,2.337657076996375,49.06511144044713,8.480636,10.76907,0.3234868
33,,,10.00577,10.15179,0.2655095
34,2.9136632419317037,41.612288988730285,8.502820000000002,9.328752999999999,0.2263688
