well | qc1.0 | qc1.1| qc1.2| qc1.3| qc2.1 | qc2.2 | qc3 | qc4| qc5
A04 |1|1|1|1|1|1|1|1|1|
A09 |1|0|1|1|1|1|1|1|1|
A10 |1|0|1|1|1|1|1|1|1|
A22 |1|1|1|1|1|1|1|1|1|
B02 |1|1|1|1|1|1|1|1|1|
B03 |1|1|1|1|1|0|1|0|1|
B05 |1|1|1|1|1|0|1|0|1|
B09 |1|1|1|1|1|1|1|1|1|
B13 |1|0|1|1|1|0|1|0|1|
C10 |1|1|1|1|1|1|1|1|1|
C15 |1|1|1|1|1|0|1|1|1|
C19 |1|1|1|1|1|1|1|1|1|
C21 |1|1|1|1|1|1|1|1|1|
D01 |1|1|1|1|1|0|0|0|1|
D02 |1|0|1|1|0|0|1|0|1|
D10 |1|1|1|1|1|1|1|1|1|
D13 |1|1|1|1|1|1|1|1|1|
D16 |1|1|1|1|1|1|1|1|1|
D19 |1|1|1|1|1|1|1|1|1|
D20 |1|1|1|1|1|1|1|1|1|
E10 |1|1|1|1|1|1|1|1|1|
E13 |1|1|1|1|1|0|1|0|1|
E16 |1|0|1|1|0|0|1|0|1|
E18 |1|1|1|1|1|1|1|1|0|
E20 |1|1|1|1|1|0|0|0|1|
F01 |1|1|1|1|1|1|1|1|1|
F02 |1|1|1|1|1|0|1|0|1|
F14 |1|1|1|1|1|1|1|0|1|
F24 |1|1|1|1|1|1|1|1|1|
G01 |1|1|1|1|1|1|1|1|1|
G06 |1|1|1|1|1|1|1|1|1|
G11 |1|0|1|1|1|1|1|1|1|
G20 |1|1|1|1|1|0|1|1|1|
G23 |1|1|1|1|1|1|1|1|1|
H01 |1|0|1|1|1|0|1|0|1|
H02 |1|1|1|1|0|0|1|0|1|
H07 |1|1|1|1|1|1|1|1|1|
H09 |1|1|1|1|1|1|1|1|1|
H11 |1|1|1|1|0|0|1|1|1|
H13 |1|1|1|1|1|1|1|1|1|
H22 |1|1|1|1|1|1|1|0|1|
H23 |1|1|1|1|1|1|1|1|1|
H24 |1|1|1|1|1|1|1|1|1|
I15 |1|1|1|1|1|0|1|0|1|
I23 |1|1|1|1|1|1|1|1|1|
J01 |1|1|1|1|1|0|1|1|1|
J05 |1|1|1|1|1|0|1|1|1|
J19 |1|1|1|1|1|1|1|1|1|
J22 |1|1|1|1|1|0|1|0|1|
K11 |1|1|1|1|1|1|1|1|1|
K15 |1|1|1|1|1|1|1|1|1|
L05 |1|1|1|1|0|0|1|0|1|
L06 |1|0|1|1|0|0|1|0|1|
L10 |1|1|1|1|1|0|1|0|1|
L16 |1|1|1|1|1|1|1|0|1|
L19 |1|1|1|1|1|1|1|1|1|
M01 |1|0|1|1|1|0|1|0|1|
M09 |1|1|1|1|1|1|1|1|1|
M11 |1|1|1|1|1|1|1|1|1|
M15 |1|1|1|1|1|1|1|1|1|
M17 |1|1|1|1|1|1|1|0|1|
M22 |1|1|1|1|1|0|1|1|1|
M23 |1|1|1|1|1|1|1|1|1|
N04 |1|1|1|1|0|0|1|0|1|
N06 |1|0|1|1|1|0|1|1|1|
N11 |1|1|1|1|1|0|1|1|1|
N17 |1|1|1|1|1|1|1|1|1|
N22 |1|0|1|1|1|0|1|0|1|
O04 |1|1|1|1|1|1|1|0|1|
O13 |1|1|1|1|1|1|1|1|1|
P04 |1|1|1|1|0|0|0|0|1|
P06 |1|1|1|1|0|1|0|0|1|
P16 |1|1|1|1|1|1|1|1|1|
P18 |1|1|1|1|1|1|1|1|1|
