,gleak (nS),Eleak (mV),cap (pF),rseries (MOhms),rseal (GOhms)
0,2.1924204372656826,11.194756994228278,24.52061,10.220379999999999,0.42591270000000003
1,2.558683322528741,-3.8159224148690436,24.757959999999997,10.35755,0.40271510000000005
2,2.878554946181422,-10.31780883400099,25.02568,10.56331,0.3699117
3,2.429192267257403,1.1215023989459358,24.60205,10.700479999999999,0.38356100000000004
4,2.403605369805985,-1.4348293206304648,24.99469,10.49472,0.4261113
5,2.558962855469725,-5.150089689923342,24.4829,9.877443999999999,0.40346790000000005
6,0.6068800408804045,370.318622478353,24.68454,9.603099,0.37763240000000003
7,2.461923054677736,-3.224769523726567,24.45198,9.740272,0.4122076
8,2.3906139764902514,3.965348457859871,24.284760000000002,9.808857999999999,0.40875300000000003
9,2.538654604524649,-5.2916742185488905,24.137809999999998,10.0832,0.4208293
10,2.2314835299378264,5.886353723987385,24.598489999999998,10.15179,0.43075610000000003
11,2.512829214735378,-3.4953518850282195,24.0818,10.15179,0.4143928
12,2.466434947360815,-1.7722276763074698,24.26452,10.0832,0.4194833
13,2.4419704487979557,1.4330814595791734,24.18025,10.220379999999999,0.41184590000000004
14,2.207812708459603,11.319355339537633,24.12503,10.220379999999999,0.42022790000000004
15,2.06695044008529,18.22516060403237,23.83786,10.15179,0.4189666
16,2.5396153873289484,-1.8940728411910426,24.10774,9.877443999999999,0.4294876
17,2.543728953261683,16.939431107836345,24.302690000000002,9.740272,0.4030962
18,2.50240319272916,0.3177885995661956,24.26344,9.671685,0.40013370000000004
19,2.0406126390160257,26.430232647358267,23.80766,9.877443999999999,0.3877068
20,2.4260206827902384,3.6824261446692894,24.14039,9.946031,0.4322611
21,2.393486457686358,8.6704683805394,24.19302,10.014619999999999,0.41358160000000005
22,2.5589280669793473,-1.3722369773360394,23.91207,10.220379999999999,0.4130749
23,2.7398471358722802,-4.186909729569652,23.948710000000002,10.35755,0.3949263
24,2.7875404197661506,-5.285392025603561,23.52646,10.28896,0.38282570000000005
25,,,23.22082,10.15179,0.41616650000000005
26,2.5500968441014735,8.229123047615376,23.96033,10.15179,0.38271180000000005
27,2.8603748178346033,-0.8465165263312631,23.43046,10.220379999999999,0.3957934
28,2.7393750751921377,-0.6366434942684815,23.41572,10.220379999999999,0.38988680000000003
29,2.7421886554142696,1.123381621039705,24.22362,10.49472,0.40630760000000005
30,2.7615487579667577,3.7287500869760666,23.35894,10.49472,0.3671085
31,2.6743959323098894,10.035742451414071,24.14299,10.49472,0.3128784
32,3.500273801018494,-13.053662485668495,23.46134,10.56331,0.3459644
33,,,24.101470000000003,10.700479999999999,0.3884266
34,3.4915945467500302,-0.6119795936765006,25.02547,11.04341,0.2951848
