well | qc1.0 | qc1.1| qc1.2| qc1.3| qc2.1 | qc2.2 | qc3 | qc4| qc5
A16 |1|0|1|1|1|1|1|1|1|
A17 |1|1|1|1|1|0|1|1|1|
A19 |1|1|1|1|1|1|1|1|1|
B05 |1|1|1|1|0|0|1|1|0|
B17 |1|1|1|1|1|1|1|1|1|
C01 |1|1|1|1|1|1|1|1|1|
C02 |1|0|1|1|1|0|0|0|1|
C04 |1|1|1|1|1|1|1|1|1|
C11 |1|0|1|1|0|0|1|1|1|
C21 |1|1|1|1|1|1|1|0|0|
D03 |1|0|1|1|0|0|0|0|1|
D06 |1|1|1|1|1|1|1|1|1|
D20 |1|1|1|1|1|1|1|1|1|
E02 |1|1|1|1|1|1|1|0|1|
E06 |1|1|1|1|1|1|1|1|1|
E13 |1|0|1|0|0|0|1|0|1|
E17 |1|1|1|1|1|1|1|1|1|
F01 |1|1|1|1|1|1|1|1|1|
F13 |1|1|1|1|1|1|1|1|1|
F18 |1|1|1|1|1|1|0|0|1|
G05 |1|1|1|1|1|1|1|0|1|
G09 |1|1|1|1|0|0|0|0|1|
H08 |1|1|1|1|1|0|1|1|1|
H10 |1|1|1|1|1|1|1|1|1|
I05 |1|0|1|1|1|1|0|1|1|
I06 |1|1|1|1|1|1|1|1|1|
I08 |1|1|1|0|1|1|1|1|1|
I10 |1|1|1|1|1|1|1|0|1|
I12 |1|1|1|1|1|1|1|0|1|
I19 |1|1|1|1|1|1|1|1|1|
I21 |1|1|1|1|1|1|1|1|1|
J03 |1|1|1|1|1|1|1|1|1|
J13 |1|1|1|1|1|1|1|1|1|
J18 |1|1|1|1|1|1|1|1|1|
K01 |1|1|1|1|1|0|1|0|1|
K02 |1|1|1|1|1|0|1|1|1|
K06 |1|1|1|1|1|1|1|0|1|
K13 |1|1|1|1|1|0|1|1|1|
L02 |1|1|1|1|1|1|1|1|1|
L11 |1|1|1|1|1|1|1|1|1|
L12 |1|1|1|1|1|1|1|1|1|
L20 |1|1|1|1|1|1|1|1|1|
M16 |1|1|1|1|1|1|1|0|1|
M23 |1|1|1|1|0|0|1|0|1|
N03 |1|1|1|1|1|1|1|1|1|
N05 |1|1|1|1|0|1|1|1|0|
N06 |1|1|1|1|1|1|1|1|1|
N12 |1|1|1|1|1|0|1|0|1|
O13 |1|1|1|1|1|1|1|0|1|
O22 |1|1|1|1|1|1|1|1|1|
