;Sweep Count;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
;Sweep Time (s);371.000E-3;40.373E+0;80.373E+0;120.375E+0;160.374E+0;200.376E+0;240.377E+0;280.378E+0;320.378E+0;360.379E+0;400.380E+0;440.380E+0;480.381E+0;520.382E+0;560.383E+0
Sample Point;Sample Time (us);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);
54;5300;-1.574E-12;-12.590E-12;-18.886E-12;-6.295E-12;-9.443E-12;-25.181E-12;-25.181E-12;-25.181E-12;-29.902E-12;-67.673E-12;-94.428E-12;-80.264E-12;-86.559E-12;-81.838E-12;-78.690E-12
55;5400;-17.312E-12;-9.443E-12;-15.738E-12;-7.869E-12;-3.148E-12;-31.476E-12;-34.624E-12;-29.902E-12;-26.755E-12;-80.264E-12;-92.854E-12;-70.821E-12;-80.264E-12;-80.264E-12;-84.985E-12
56;5500;-18.886E-12;-25.181E-12;-12.590E-12;-4.721E-12;-18.886E-12;-26.755E-12;-23.607E-12;-20.459E-12;-26.755E-12;-78.690E-12;-91.280E-12;-75.542E-12;-83.411E-12;-81.838E-12;-92.854E-12
57;5600;-20.459E-12;-9.443E-12;-18.886E-12;-14.164E-12;-17.312E-12;-33.050E-12;-23.607E-12;-20.459E-12;-33.050E-12;-78.690E-12;-81.838E-12;-83.411E-12;-83.411E-12;-81.838E-12;-81.838E-12
58;5700;-18.886E-12;-25.181E-12;-17.312E-12;-15.738E-12;-22.033E-12;-29.902E-12;-36.197E-12;-15.738E-12;-25.181E-12;-69.247E-12;-88.133E-12;-94.428E-12;-77.116E-12;-77.116E-12;-92.854E-12
59;5800;-12.590E-12;-15.738E-12;-12.590E-12;-18.886E-12;-15.738E-12;-25.181E-12;-26.755E-12;-22.033E-12;-17.312E-12;-77.116E-12;-92.854E-12;-80.264E-12;-72.395E-12;-84.985E-12;-84.985E-12
60;5900;-18.886E-12;-22.033E-12;-7.869E-12;-15.738E-12;-14.164E-12;-34.624E-12;-20.459E-12;-28.328E-12;-25.181E-12;-77.116E-12;-88.133E-12;-86.559E-12;-72.395E-12;-83.411E-12;-100.723E-12
61;6000;-17.312E-12;-23.607E-12;-20.459E-12;-17.312E-12;-9.443E-12;-33.050E-12;-17.312E-12;-23.607E-12;-29.902E-12;-70.821E-12;-92.854E-12;-64.526E-12;-75.542E-12;-83.411E-12;-92.854E-12
62;6100;-14.164E-12;-28.328E-12;-17.312E-12;-18.886E-12;-25.181E-12;-26.755E-12;-31.476E-12;-23.607E-12;-33.050E-12;-67.673E-12;-86.559E-12;-73.969E-12;-81.838E-12;-75.542E-12;-94.428E-12
63;6200;-14.164E-12;-12.590E-12;-15.738E-12;-17.312E-12;-25.181E-12;-34.624E-12;-28.328E-12;-22.033E-12;-31.476E-12;-61.378E-12;-89.707E-12;-77.116E-12;-73.969E-12;-81.838E-12;-81.838E-12
64;6300;-22.033E-12;-20.459E-12;-14.164E-12;-18.886E-12;-23.607E-12;-36.197E-12;-34.624E-12;-22.033E-12;-22.033E-12;-67.673E-12;-81.838E-12;-73.969E-12;-77.116E-12;-83.411E-12;-77.116E-12
65;6400;-12.590E-12;-12.590E-12;-18.886E-12;-20.459E-12;-15.738E-12;-28.328E-12;-28.328E-12;-15.738E-12;-20.459E-12;-67.673E-12;-94.428E-12;-80.264E-12;-80.264E-12;-80.264E-12;-84.985E-12
66;6500;-15.738E-12;-17.312E-12;-11.017E-12;-4.721E-12;-20.459E-12;-33.050E-12;-20.459E-12;-20.459E-12;-11.017E-12;-75.542E-12;-88.133E-12;-66.100E-12;-77.116E-12;-78.690E-12;-103.871E-12
67;6600;-18.886E-12;-11.017E-12;-22.033E-12;-9.443E-12;-20.459E-12;-29.902E-12;-23.607E-12;-15.738E-12;-18.886E-12;-80.264E-12;-88.133E-12;-73.969E-12;-81.838E-12;-81.838E-12;-102.297E-12
68;6700;-9.443E-12;-28.328E-12;-14.164E-12;-12.590E-12;-14.164E-12;-36.197E-12;-23.607E-12;-28.328E-12;-25.181E-12;-70.821E-12;-97.576E-12;-81.838E-12;-78.690E-12;-89.707E-12;-84.985E-12
69;6800;-7.869E-12;-26.755E-12;-25.181E-12;-12.590E-12;-11.017E-12;-33.050E-12;-25.181E-12;-18.886E-12;-22.033E-12;-80.264E-12;-84.985E-12;-83.411E-12;-84.985E-12;-81.838E-12;-97.576E-12
70;6900;-7.869E-12;-23.607E-12;-15.738E-12;-20.459E-12;-14.164E-12;-26.755E-12;-33.050E-12;-14.164E-12;-22.033E-12;-77.116E-12;-97.576E-12;-83.411E-12;-75.542E-12;-81.838E-12;-89.707E-12
71;7000;-12.590E-12;-29.902E-12;-7.869E-12;-25.181E-12;-6.295E-12;-25.181E-12;-28.328E-12;-12.590E-12;-28.328E-12;-67.673E-12;-91.280E-12;-84.985E-12;-72.395E-12;-84.985E-12;-86.559E-12
72;7100;-12.590E-12;-23.607E-12;-18.886E-12;-26.755E-12;-17.312E-12;-33.050E-12;-26.755E-12;-22.033E-12;-14.164E-12;-72.395E-12;-83.411E-12;-77.116E-12;-72.395E-12;-88.133E-12;-89.707E-12
73;7200;-20.459E-12;-15.738E-12;-17.312E-12;-6.295E-12;-7.869E-12;-40.919E-12;-26.755E-12;-28.328E-12;-18.886E-12;-72.395E-12;-77.116E-12;-80.264E-12;-75.542E-12;-81.838E-12;-94.428E-12
74;7300;-22.033E-12;-15.738E-12;-18.886E-12;-7.869E-12;-20.459E-12;-36.197E-12;-25.181E-12;-26.755E-12;-14.164E-12;-70.821E-12;-80.264E-12;-75.542E-12;-88.133E-12;-83.411E-12;-80.264E-12
75;7400;-17.312E-12;-14.164E-12;-6.295E-12;-15.738E-12;-17.312E-12;-37.771E-12;-28.328E-12;-20.459E-12;-28.328E-12;-62.952E-12;-91.280E-12;-77.116E-12;-81.838E-12;-84.985E-12;-86.559E-12
76;7500;-25.181E-12;-18.886E-12;-20.459E-12;-17.312E-12;-12.590E-12;-29.902E-12;-23.607E-12;-29.902E-12;-15.738E-12;-70.821E-12;-73.969E-12;-77.116E-12;-81.838E-12;-84.985E-12;-81.838E-12
77;7600;-17.312E-12;-18.886E-12;-11.017E-12;-18.886E-12;-9.443E-12;-25.181E-12;-39.345E-12;-20.459E-12;-26.755E-12;-81.838E-12;-78.690E-12;-81.838E-12;-78.690E-12;-86.559E-12;-84.985E-12
78;7700;-20.459E-12;-26.755E-12;-11.017E-12;-18.886E-12;-15.738E-12;-31.476E-12;-28.328E-12;-20.459E-12;-17.312E-12;-73.969E-12;-80.264E-12;-83.411E-12;-83.411E-12;-73.969E-12;-84.985E-12
79;7800;-18.886E-12;-25.181E-12;-23.607E-12;-23.607E-12;-18.886E-12;-29.902E-12;-34.624E-12;-14.164E-12;-18.886E-12;-75.542E-12;-75.542E-12;-84.985E-12;-92.854E-12;-83.411E-12;-89.707E-12
80;7900;-9.443E-12;-26.755E-12;-23.607E-12;-25.181E-12;-25.181E-12;-26.755E-12;-36.197E-12;-12.590E-12;-23.607E-12;-73.969E-12;-91.280E-12;-84.985E-12;-92.854E-12;-86.559E-12;-91.280E-12
81;8000;-14.164E-12;-15.738E-12;-26.755E-12;-17.312E-12;-15.738E-12;-22.033E-12;-23.607E-12;-15.738E-12;-20.459E-12;-73.969E-12;-77.116E-12;-81.838E-12;-83.411E-12;-86.559E-12;-86.559E-12
82;8100;-12.590E-12;-15.738E-12;-22.033E-12;-12.590E-12;-12.590E-12;-37.771E-12;-34.624E-12;-15.738E-12;-12.590E-12;-77.116E-12;-77.116E-12;-81.838E-12;-83.411E-12;-89.707E-12;-81.838E-12
83;8200;-12.590E-12;-17.312E-12;-17.312E-12;-20.459E-12;-14.164E-12;-34.624E-12;-28.328E-12;-18.886E-12;-15.738E-12;-70.821E-12;-75.542E-12;-77.116E-12;-75.542E-12;-81.838E-12;-75.542E-12
84;8300;-14.164E-12;-18.886E-12;-7.869E-12;-23.607E-12;-25.181E-12;-37.771E-12;-25.181E-12;-33.050E-12;-18.886E-12;-72.395E-12;-72.395E-12;-80.264E-12;-73.969E-12;-84.985E-12;-81.838E-12
85;8400;-14.164E-12;-7.869E-12;-20.459E-12;-18.886E-12;-15.738E-12;-28.328E-12;-31.476E-12;-29.902E-12;-17.312E-12;-61.378E-12;-77.116E-12;-72.395E-12;-58.231E-12;-75.542E-12;-73.969E-12
86;8500;-12.590E-12;-18.886E-12;-12.590E-12;-11.017E-12;-12.590E-12;-31.476E-12;-33.050E-12;-33.050E-12;-22.033E-12;-66.100E-12;-88.133E-12;-70.821E-12;-67.673E-12;-81.838E-12;-73.969E-12
87;8600;-1.574E-12;-11.017E-12;-18.886E-12;-7.869E-12;-14.164E-12;-28.328E-12;-18.886E-12;-17.312E-12;-28.328E-12;-77.116E-12;-77.116E-12;-67.673E-12;-70.821E-12;-84.985E-12;-77.116E-12
88;8700;-6.295E-12;-15.738E-12;-20.459E-12;-1.574E-12;-12.590E-12;-36.197E-12;-22.033E-12;-20.459E-12;-33.050E-12;-66.100E-12;-77.116E-12;-72.395E-12;-73.969E-12;-83.411E-12;-77.116E-12
89;8800;-11.017E-12;-22.033E-12;-23.607E-12;-15.738E-12;-18.886E-12;-22.033E-12;-28.328E-12;-22.033E-12;-28.328E-12;-66.100E-12;-83.411E-12;-83.411E-12;-78.690E-12;-81.838E-12;-91.280E-12
