;Sweep Count;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
;Sweep Time (s);371.000E-3;40.373E+0;80.373E+0;120.375E+0;160.374E+0;200.376E+0;240.377E+0;280.378E+0;320.378E+0;360.379E+0;400.380E+0;440.380E+0;480.381E+0;520.382E+0;560.383E+0
Sample Point;Sample Time (us);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);
24;2300;-122.756E-12;-133.773E-12;-151.085E-12;-151.085E-12;-127.478E-12;-162.101E-12;-169.970E-12;-210.889E-12;-259.677E-12;-384.007E-12;-426.500E-12;-415.483E-12;-420.204E-12;-431.221E-12;-435.942E-12
25;2400;-135.347E-12;-147.937E-12;-141.642E-12;-154.232E-12;-136.921E-12;-146.363E-12;-171.544E-12;-214.037E-12;-251.808E-12;-385.581E-12;-418.631E-12;-429.647E-12;-428.073E-12;-426.500E-12;-434.369E-12
26;2500;-135.347E-12;-140.068E-12;-151.085E-12;-157.380E-12;-130.625E-12;-157.380E-12;-162.101E-12;-206.168E-12;-254.955E-12;-388.728E-12;-417.057E-12;-417.057E-12;-420.204E-12;-413.909E-12;-426.500E-12
27;2600;-133.773E-12;-135.347E-12;-147.937E-12;-149.511E-12;-135.347E-12;-158.954E-12;-174.692E-12;-207.741E-12;-259.677E-12;-371.417E-12;-418.631E-12;-412.335E-12;-418.631E-12;-410.762E-12;-424.926E-12
28;2700;-122.756E-12;-140.068E-12;-154.232E-12;-143.216E-12;-138.494E-12;-149.511E-12;-174.692E-12;-207.741E-12;-264.398E-12;-366.695E-12;-426.500E-12;-424.926E-12;-424.926E-12;-424.926E-12;-434.369E-12
29;2800;-122.756E-12;-146.363E-12;-144.790E-12;-155.806E-12;-146.363E-12;-149.511E-12;-169.970E-12;-209.315E-12;-250.234E-12;-379.286E-12;-417.057E-12;-421.778E-12;-426.500E-12;-409.188E-12;-434.369E-12
30;2900;-135.347E-12;-143.216E-12;-144.790E-12;-151.085E-12;-143.216E-12;-158.954E-12;-160.528E-12;-218.758E-12;-253.382E-12;-368.269E-12;-426.500E-12;-420.204E-12;-439.090E-12;-410.762E-12;-432.795E-12
31;3000;-121.183E-12;-141.642E-12;-140.068E-12;-141.642E-12;-132.199E-12;-162.101E-12;-171.544E-12;-198.299E-12;-262.824E-12;-377.712E-12;-431.221E-12;-413.909E-12;-429.647E-12;-415.483E-12;-439.090E-12
32;3100;-119.609E-12;-143.216E-12;-147.937E-12;-143.216E-12;-130.625E-12;-152.659E-12;-166.823E-12;-207.741E-12;-256.529E-12;-376.138E-12;-426.500E-12;-417.057E-12;-432.795E-12;-410.762E-12;-437.516E-12
33;3200;-125.904E-12;-149.511E-12;-141.642E-12;-149.511E-12;-133.773E-12;-151.085E-12;-176.265E-12;-204.594E-12;-243.939E-12;-379.286E-12;-423.352E-12;-412.335E-12;-423.352E-12;-420.204E-12;-431.221E-12
