;Sweep Count;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
;Sweep Time (s);371.000E-3;40.373E+0;80.373E+0;120.375E+0;160.374E+0;200.376E+0;240.377E+0;280.378E+0;320.378E+0;360.379E+0;400.380E+0;440.380E+0;480.381E+0;520.382E+0;560.383E+0
Sample Point;Sample Time (us);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);
24;2300;-26.755E-12;-34.624E-12;-36.197E-12;-18.886E-12;-48.788E-12;-51.935E-12;-69.247E-12;-80.264E-12;-62.952E-12;-152.659E-12;-147.937E-12;-163.675E-12;-188.856E-12;-199.872E-12;-185.708E-12
25;2400;-20.459E-12;-31.476E-12;-26.755E-12;-12.590E-12;-56.657E-12;-53.509E-12;-64.526E-12;-73.969E-12;-56.657E-12;-147.937E-12;-149.511E-12;-169.970E-12;-182.561E-12;-195.151E-12;-185.708E-12
26;2500;-23.607E-12;-29.902E-12;-31.476E-12;-15.738E-12;-47.214E-12;-47.214E-12;-62.952E-12;-70.821E-12;-73.969E-12;-136.921E-12;-146.363E-12;-162.101E-12;-185.708E-12;-193.577E-12;-199.872E-12
27;2600;-22.033E-12;-25.181E-12;-28.328E-12;-26.755E-12;-44.066E-12;-47.214E-12;-64.526E-12;-69.247E-12;-64.526E-12;-146.363E-12;-154.232E-12;-171.544E-12;-176.265E-12;-195.151E-12;-195.151E-12
28;2700;-22.033E-12;-14.164E-12;-26.755E-12;-22.033E-12;-56.657E-12;-51.935E-12;-62.952E-12;-72.395E-12;-59.804E-12;-146.363E-12;-143.216E-12;-169.970E-12;-182.561E-12;-190.430E-12;-196.725E-12
29;2800;-25.181E-12;-45.640E-12;-34.624E-12;-14.164E-12;-51.935E-12;-51.935E-12;-73.969E-12;-83.411E-12;-53.509E-12;-141.642E-12;-149.511E-12;-155.806E-12;-180.987E-12;-192.003E-12;-185.708E-12
30;2900;-25.181E-12;-37.771E-12;-34.624E-12;-20.459E-12;-53.509E-12;-45.640E-12;-67.673E-12;-75.542E-12;-55.083E-12;-144.790E-12;-151.085E-12;-160.528E-12;-190.430E-12;-201.446E-12;-190.430E-12
31;3000;-29.902E-12;-22.033E-12;-34.624E-12;-18.886E-12;-58.231E-12;-40.919E-12;-64.526E-12;-62.952E-12;-59.804E-12;-146.363E-12;-151.085E-12;-160.528E-12;-185.708E-12;-196.725E-12;-180.987E-12
32;3100;-15.738E-12;-39.345E-12;-28.328E-12;-23.607E-12;-45.640E-12;-50.362E-12;-67.673E-12;-75.542E-12;-64.526E-12;-151.085E-12;-146.363E-12;-163.675E-12;-187.282E-12;-198.299E-12;-187.282E-12
33;3200;-18.886E-12;-37.771E-12;-33.050E-12;-23.607E-12;-50.362E-12;-56.657E-12;-69.247E-12;-72.395E-12;-64.526E-12;-147.937E-12;-140.068E-12;-169.970E-12;-187.282E-12;-185.708E-12;-188.856E-12
34;3300;-28.328E-12;-36.197E-12;-33.050E-12;-29.902E-12;-45.640E-12;-50.362E-12;-64.526E-12;-61.378E-12;-67.673E-12;-147.937E-12;-135.347E-12;-163.675E-12;-184.134E-12;-188.856E-12;-196.725E-12
