;Sweep Count;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
;Sweep Time (s);371.000E-3;40.373E+0;80.373E+0;120.375E+0;160.374E+0;200.376E+0;240.377E+0;280.378E+0;320.378E+0;360.379E+0;400.380E+0;440.380E+0;480.381E+0;520.382E+0;560.383E+0
Sample Point;Sample Time (us);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);
24;2300;-99.149E-12;-111.740E-12;-94.428E-12;-77.116E-12;-66.100E-12;-67.673E-12;-66.100E-12;-55.083E-12;-70.821E-12;-83.411E-12;-105.445E-12;-783.752E-12;-144.790E-12;-173.118E-12;-188.856E-12
25;2400;-116.461E-12;-102.297E-12;-96.002E-12;-92.854E-12;-67.673E-12;-67.673E-12;-72.395E-12;-59.804E-12;-72.395E-12;-80.264E-12;-92.854E-12;-780.604E-12;-140.068E-12;-166.823E-12;-201.446E-12
26;2500;-118.035E-12;-108.592E-12;-99.149E-12;-84.985E-12;-67.673E-12;-73.969E-12;-64.526E-12;-61.378E-12;-78.690E-12;-80.264E-12;-107.018E-12;-780.604E-12;-155.806E-12;-173.118E-12;-192.003E-12
27;2600;-121.183E-12;-105.445E-12;-89.707E-12;-83.411E-12;-66.100E-12;-75.542E-12;-78.690E-12;-62.952E-12;-75.542E-12;-73.969E-12;-100.723E-12;-786.899E-12;-140.068E-12;-173.118E-12;-190.430E-12
28;2700;-111.740E-12;-110.166E-12;-102.297E-12;-89.707E-12;-62.952E-12;-77.116E-12;-73.969E-12;-69.247E-12;-73.969E-12;-73.969E-12;-94.428E-12;-782.178E-12;-144.790E-12;-173.118E-12;-182.561E-12
29;2800;-105.445E-12;-111.740E-12;-86.559E-12;-86.559E-12;-70.821E-12;-69.247E-12;-73.969E-12;-67.673E-12;-66.100E-12;-75.542E-12;-100.723E-12;-779.031E-12;-133.773E-12;-173.118E-12;-190.430E-12
30;2900;-107.018E-12;-113.314E-12;-91.280E-12;-86.559E-12;-69.247E-12;-77.116E-12;-77.116E-12;-62.952E-12;-70.821E-12;-84.985E-12;-97.576E-12;-785.326E-12;-136.921E-12;-171.544E-12;-185.708E-12
31;3000;-105.445E-12;-111.740E-12;-94.428E-12;-83.411E-12;-89.707E-12;-83.411E-12;-78.690E-12;-72.395E-12;-75.542E-12;-70.821E-12;-110.166E-12;-777.457E-12;-138.494E-12;-168.396E-12;-187.282E-12
32;3100;-105.445E-12;-114.887E-12;-100.723E-12;-73.969E-12;-77.116E-12;-83.411E-12;-75.542E-12;-67.673E-12;-84.985E-12;-81.838E-12;-108.592E-12;-780.604E-12;-147.937E-12;-179.413E-12;-185.708E-12
33;3200;-105.445E-12;-114.887E-12;-97.576E-12;-75.542E-12;-64.526E-12;-69.247E-12;-62.952E-12;-59.804E-12;-78.690E-12;-86.559E-12;-92.854E-12;-783.752E-12;-143.216E-12;-180.987E-12;-192.003E-12
