,gleak (nS),Eleak (mV),cap (pF),rseries (MOhms),rseal (GOhms)
0,3.336214870184796,10.777038694989596,96.27932,7.065401,0.27140050000000004
1,2.9719334177900825,4.943690263006148,96.86899,7.065401,0.3195562
2,2.8782776727185375,6.7784145609706785,96.65214999999999,7.065401,0.3276061
3,2.7659788607223184,10.999415041420031,96.58738,6.996815,0.330855
4,2.442236817303485,22.13994323455421,97.41296000000001,7.065401,0.3229423
5,2.7094181180407997,10.502153224077745,97.33235,6.996815,0.3311718
6,2.8480453714657257,6.157838036315701,96.82444,6.928228,0.32409530000000003
7,2.830011799757091,5.333484148920525,97.24532,6.928228,0.3120912
8,2.5057135813468503,1.3137521241187355,97.67593,6.928228,0.38071340000000004
9,2.8033241460884764,-12.464760717007268,97.69669,6.928228,0.4213078
10,2.7712602287201626,-9.698517035085326,98.23142,6.928228,0.4041016
11,2.5278685890675754,-9.494386938001654,98.11014,6.928228,0.4219432
12,2.1312808521229054,6.131312007144283,98.15421,6.928228,0.4357514
13,2.315503068072825,-2.852983189986423,98.31352,6.928228,0.42855170000000004
14,2.329508433047987,-2.971410808731776,98.43214,6.996815,0.43391630000000003
15,2.1485764068084534,2.0421644899463867,98.2484,7.065401,0.43692380000000003
16,2.8174545572200684,-19.066915139136007,98.48396000000001,7.065401,0.4135513
17,2.129226743146244,5.7047695844933894,98.36999,7.065401,0.4304098
18,2.4417833615931945,-9.68810080688617,98.15176,7.065401,0.42652070000000003
19,2.438044051752686,-9.671637337860226,98.67868999999999,7.065401,0.4351549
20,2.5892791455807913,-13.925790002960179,98.12862000000001,7.1339879999999996,0.4328791
21,2.551680075731066,-13.312965327872543,98.47739,7.202573999999999,0.4696196
22,2.7020593310578596,-17.650173658972165,98.53719,7.202573999999999,0.45521150000000005
23,2.5528099710814467,-14.169216139165727,98.96346,7.27116,0.4822671
24,2.727903185379436,-20.75697474636931,98.74596,7.27116,0.49875680000000006
25,,,99.00007,7.339747,0.49138060000000006
26,2.471282729376249,-14.568911997461848,99.03335999999999,7.339747,0.4703607
27,2.8855898611479938,-23.30399209353976,99.17891,7.408334,0.45462020000000003
28,2.5106848290193065,-6.942005231622733,98.83059999999999,7.408334,0.4322904
29,2.783452591547425,-18.085252708739908,98.85471000000001,7.47692,0.4574613
30,2.4286197879670697,-2.829020615996249,98.07422,7.47692,0.4178599
31,2.4732038752538417,-2.0853053514927766,98.541,7.545506,0.4084689
32,2.613361160334916,-6.190721328680752,98.71388,7.614091999999999,0.4064244
33,,,98.85656,7.614091999999999,0.3847529
34,2.7022137975388953,-6.9643378000605,98.73407999999999,7.888438,0.3736764
