well | qc1.0 | qc1.1| qc1.2| qc1.3| qc2.1 | qc2.2 | qc3 | qc4| qc5
A01 |1|1|1|1|0|0|0|0|1|
A07 |1|1|1|1|1|0|1|0|1|
A09 |1|1|1|1|0|0|1|0|1|
A15 |1|1|1|1|1|1|1|1|1|
A22 |1|1|1|1|1|1|1|0|1|
B05 |1|1|1|1|1|1|1|0|1|
B06 |1|1|1|1|1|1|1|1|1|
B13 |1|1|1|1|1|1|1|0|1|
B16 |1|0|1|1|1|0|1|0|1|
C07 |1|1|1|1|0|0|0|0|1|
C09 |1|1|1|1|1|0|1|0|1|
C12 |1|1|1|1|1|0|1|0|1|
C13 |1|1|1|1|1|1|1|1|1|
C20 |1|1|1|1|1|1|1|1|1|
D10 |1|1|1|1|1|0|1|0|1|
D16 |1|1|1|1|1|1|1|1|1|
D19 |1|1|1|1|1|1|1|0|1|
E18 |1|1|1|1|0|1|1|0|1|
F03 |1|1|1|1|1|0|1|0|1|
F08 |1|1|1|1|1|1|1|0|1|
F19 |1|1|1|1|1|0|1|0|1|
F21 |1|1|1|1|1|1|1|0|1|
G08 |1|1|1|1|1|0|1|0|1|
G12 |1|1|1|1|1|1|1|1|1|
H22 |1|1|1|1|1|1|1|0|1|
I04 |1|1|1|1|1|1|1|1|1|
I07 |1|1|1|1|1|1|1|1|1|
I13 |1|1|1|1|1|1|1|1|1|
I17 |1|1|1|1|1|1|1|1|1|
J01 |1|1|1|1|1|1|1|0|1|
J21 |1|1|1|1|1|1|1|1|1|
J24 |1|1|1|1|1|1|1|1|1|
K02 |1|1|1|1|0|1|1|0|1|
K03 |1|1|1|1|1|1|1|1|1|
K11 |1|1|1|1|1|1|1|0|1|
K22 |1|1|1|1|1|0|1|1|1|
L02 |1|1|1|1|1|1|1|0|1|
N03 |1|1|1|1|1|1|1|1|1|
N06 |1|1|1|1|1|1|1|1|1|
N16 |1|1|1|1|1|0|1|0|1|
O02 |1|1|1|1|1|1|1|1|1|
O08 |1|1|1|1|1|1|1|1|1|
P05 |1|1|1|1|1|1|1|0|1|
P20 |1|1|1|1|1|1|1|1|1|
