,gleak (nS),Eleak (mV),cap (pF),rseries (MOhms),rseal (GOhms)
0,0.4282099082494999,34.316972258124245,11.29852,20.37117,1.639321
1,0.38720078671347785,55.49442994210308,11.20351,20.85127,1.5617770000000002
2,0.5093392784811608,20.75195892898376,11.22842,21.057029999999997,1.562675
3,0.4262881764285491,38.02280663101537,11.30157,20.91986,1.5849730000000002
4,0.3988274860816045,48.81368417905308,11.31907,21.33138,1.6013670000000002
5,0.45048338418520356,27.00511266745719,11.3029,21.67431,1.621353
6,0.44804231963493485,36.66743472213245,11.63597,20.30258,1.551881
7,0.36877375832213805,70.34092936146004,11.6013,20.57693,1.4955660000000002
8,0.5613346314397961,14.79600868194782,11.377369999999999,21.26279,1.439094
9,0.6175750970343347,10.615399956881243,11.353110000000001,21.26279,1.4626940000000002
10,0.45841345441374004,40.43039054050835,11.04389,20.7141,1.4849370000000002
11,0.41338162374640686,28.707228862339665,10.5327,19.75389,1.783875
12,0.47411585194326394,13.103119991533152,10.97659,20.02823,1.7733940000000001
13,0.49379198555829773,12.731164510151476,10.94923,19.95965,1.6457320000000002
14,0.45368136398712805,30.772991252368893,11.07071,19.82248,1.6179290000000002
15,0.46105635884778795,31.94374049332281,10.947339999999999,19.95965,1.570313
16,0.311291011231567,101.99710620072437,10.91805,19.95965,1.509773
17,0.4098463760583291,53.338249200043194,10.99874,20.85127,1.526354
18,0.38771479652352525,57.91887261695162,11.24168,20.7141,1.565377
19,0.4158979023681577,44.47504435196158,11.14915,20.85127,1.6476380000000002
20,0.4823732046168144,27.07564567195705,11.36077,20.78269,1.612341
21,0.4234333579456696,41.81878019615639,11.56062,21.537139999999997,1.594956
22,0.44265198863174815,42.603828552969915,11.57076,15.432939999999999,1.584049
23,0.5054317818084539,26.445787390129695,11.44275,15.021429999999999,1.540837
24,0.4987154970476126,38.46039459491088,11.27483,14.67849,1.4435440000000002
25,,,11.08526,14.47274,1.396192
26,0.47053528214040224,45.36544966468373,11.47306,21.26279,1.339126
27,0.5417093273361344,26.83907212478268,11.30634,20.91986,1.333151
28,0.4594986419566979,51.02945492211726,11.205720000000001,15.707289999999999,1.303206
29,0.8368825254389525,-18.303415569128703,11.25524,20.7141,1.360962
30,0.33297845738174825,86.63321017559434,11.04825,20.645509999999998,1.44473
31,0.46240090277821155,33.70056322865874,11.17934,20.165409999999998,1.527212
32,0.3395648348108284,93.1183950401967,11.18129,19.89106,1.4363270000000001
33,,,11.85798,15.36436,1.078386
34,0.7012952362846786,18.48588619405777,11.93346,21.057029999999997,1.125166
